Name,Address,City,ANM,PRM,Notes
Hunter Ranch Golf Course,4041 CA-46,Paso Robles,0,30,Lobby
Estrella Warbirds,4251 Dry Creek Rd,Paso Robles,0,20,Entry counter
Sun Outdoors Central Coast Wine Country RV,2500 Airport Rd,Paso Robles,,30,
Paso Robles Airport**,4912 Wing Way,Paso Robles,25,50,Most on counter / then coffee table
CaliPaso Winery,4230 Buena Vista Drive,Paso Robles,0,10,Lobby
River Oaks Golf Course,700 Clubhouse Dr,Paso Robles,0,10,
Allegretto Vineyard Resort,2700 Buena Vista Dr,Paso Robles,0,50,Manager Anna Olsen
San Antonio Winery,2610 Buena Vista Dr,Paso Robles,0,25,Rack just inside door
Holiday Inn Express,2455 Riverside Ave,Paso Robles,0,40,"Front Rack
Audit: 0"
PR Wine Country Inn,3548 Spring St,Paso Robles,0,20,Lobby
Cielo House Motel,2749 Spring St,Paso Robles,0,20,Lobby
PR Event Center,2198 Riverside Ave,Paso Robles,0,15,Office
Pioneer Museum,2010 Riverside Ave,Paso Robles,0,20,On counter
Blakes True Value,1701 Riverside Ave,Paso Robles,0,25,Front desk
Full Service Equipment repair,1511 Riverside Ave Suite #50,Paso Robles,0,10,Front Desk
A-1 Glass,705 Paso Robles St,Paso Robles,,20,
Derby Winery,525 Riverside Ave,Paso Robles,0,25,Tasting Room
Castoro Cellars,1315 N Bethel Rd,Paso Robles,0,25,Tasting Room
Lube N Go,2505 Theatre Dr # A,Paso Robles,10,10,Lobby
Paso Robles Kia,2700 Theatre Dr,Paso Robles,0,10,Lobby
Atascadero Office,5860 El Camino Real,Atascadero,50,50,
Ancient Owl ,6090 El Camino Real Suite C,,15,,
