Company,Product,Gross,Issue,Issue Year,Size,Issue Date,Invoice Number,Invoice Amount,Invoice Date,Commissioned Rep
House of Moseley,Atascadero News Magazine,288.0000,August,2022,1/4 S,8/1/2022 12:00:00 AM,2022-17576,288.0000,12/31/2022,Dana McGraw
House of Moseley,Atascadero News Magazine,288.0000,December,2021,1/4 S,12/1/2021 12:00:00 AM,2022-17580,288.0000,12/31/2022,Dana McGraw
House of Moseley,Atascadero News Magazine,288.0000,February,2022,1/4 S,2/1/2022 12:00:00 AM,2022-17593,288.0000,12/31/2022,Dana McGraw
House of Moseley,Atascadero News Magazine,288.0000,January,2022,1/4 S,1/1/2022 12:00:00 AM,2022-17601,288.0000,12/31/2022,Dana McGraw
House of Moseley,Atascadero News Magazine,288.0000,July,2022,1/4 S,7/1/2022 12:00:00 AM,2022-17617,288.0000,12/31/2022,Dana McGraw
House of Moseley,Atascadero News Magazine,288.0000,June,2022,1/4 S,5/1/2022 12:00:00 AM,2022-17631,288.0000,12/31/2022,Dana McGraw
House of Moseley,Atascadero News Magazine,288.0000,March,2022,1/4 S,3/1/2022 12:00:00 AM,2022-17643,288.0000,12/31/2022,Dana McGraw
House of Moseley,Atascadero News Magazine,288.0000,June,2022,1/4 S,5/1/2022 12:00:00 AM,2022-17652,288.0000,12/31/2022,Dana McGraw
House of Moseley,Atascadero News Magazine,288.0000,November,2021,1/4 S,11/1/2021 12:00:00 AM,2022-17660,288.0000,12/31/2022,Dana McGraw
House of Moseley,Atascadero News Magazine,288.0000,October,2021,1/4 S,10/1/2021 12:00:00 AM,2022-17670,288.0000,12/31/2022,Dana McGraw
House of Moseley,Atascadero News Magazine,288.0000,September,2021,1/4 S,9/1/2021 12:00:00 AM,2022-17679,288.0000,12/31/2022,Dana McGraw
House of Moseley,Paso Robles Magazine,351.0000,April,2022,1/4 S,4/1/2022 12:00:00 AM,2022-17814,351.0000,12/31/2022,Dana McGraw
House of Moseley,Paso Robles Magazine,351.0000,August,2022,1/4 S,8/1/2022 12:00:00 AM,2022-17830,351.0000,12/31/2022,Dana McGraw
House of Moseley,Paso Robles Magazine,396.0000,December,2021,1/4 S,12/1/2021 12:00:00 AM,2022-17837,396.0000,12/31/2022,Dana McGraw
House of Moseley,Paso Robles Magazine,396.0000,February,2022,1/4 S,2/1/2022 12:00:00 AM,2022-17852,396.0000,12/31/2022,Dana McGraw
House of Moseley,Paso Robles Magazine,396.0000,January,2022,1/4 S,1/1/2022 12:00:00 AM,2022-17866,396.0000,12/31/2022,Dana McGraw
House of Moseley,Paso Robles Magazine,351.0000,July,2022,1/4 S,7/1/2022 12:00:00 AM,2022-17891,351.0000,12/31/2022,Dana McGraw
House of Moseley,Paso Robles Magazine,351.0000,June,2022,1/4 S,5/1/2022 12:00:00 AM,2022-17910,351.0000,12/31/2022,Dana McGraw
House of Moseley,Paso Robles Magazine,351.0000,March,2022,1/4 S,3/1/2022 12:00:00 AM,2022-17929,351.0000,12/31/2022,Dana McGraw
House of Moseley,Paso Robles Magazine,351.0000,June,2022,1/4 S,5/1/2022 12:00:00 AM,2022-17946,351.0000,12/31/2022,Dana McGraw
House of Moseley,Paso Robles Magazine,396.0000,November,2021,1/4 S,11/1/2021 12:00:00 AM,2022-17956,396.0000,12/31/2022,Dana McGraw
House of Moseley,Paso Robles Magazine,396.0000,October,2021,1/4 S,10/1/2021 12:00:00 AM,2022-17967,396.0000,12/31/2022,Dana McGraw
House of Moseley,Paso Robles Magazine,396.0000,September,2021,1/4 S,9/1/2021 12:00:00 AM,2022-17982,396.0000,12/31/2022,Dana McGraw
House of the Rising Buns,OpenDoor Directories,200.0000,Food + Wine,2023,1/4 S,2/5/2023 12:00:00 AM,2023-10166,200.0000,02/01/2023,Christie Coyes
House of the Rising Buns,OpenDoor Directories,0.0000,Food + Wine,2023,Enhanced Directory Listing,2/5/2023 12:00:00 AM,2023-10167,0.0000,02/01/2023,Christie Coyes
House of the Rising Buns,OpenDoor Directories,150.0000,Food + Wine,2022,Enhanced Directory Listing,2/1/2022 12:00:00 AM,2022-21785,150.0000,12/31/2022,Christie Coyes
House of the Rising Buns,OpenDoor Directories,200.0000,Food & Wine,2024,1/4 S,2/1/2024 12:00:00 AM,2023-32971,200.0000,10/17/2023,Christie Coyes
House of the Rising Buns,OpenDoor Directories,0.0000,Food & Wine,2024,Enhanced Directory Listing,2/1/2024 12:00:00 AM,2023-32972,0.0000,10/17/2023,Christie Coyes
House of the Rising Buns,OpenDoor Directories,250.0000,Food & Wine,2025,1/4 S,2/5/2025 12:00:00 AM,2024-48397,250.0000,10/01/2024,Christie Coyes
House of the Rising Buns,OpenDoor Directories,0.0000,Food & Wine,2025,Enhanced Directory Listing,2/5/2025 12:00:00 AM,2024-48398,0.0000,10/01/2024,Christie Coyes
Housecalls of Comedy AND Magic!,The Malibu Times,335.0000,Aug 7,2025,Biz Services Ad - C,8/7/2025 12:00:00 AM,2025-56919,335.0000,08/01/2025,Anthony McDemas
Housecalls of Comedy AND Magic!,The Malibu Times,0.0000,Aug 14,2025,Biz Services Ad - C,8/14/2025 12:00:00 AM,2025-56920,0.0000,08/01/2025,Anthony McDemas
